Company,Permno,IpoDate
ROYSTER,67898.0,1975-01-30
VARCO,63044.0,1975-06-09
COORS ADOLPH,59248.0,1975-06-10
KEYSTONE FOODS CORP,61989.0,1975-07-15
C. F. BRAUN,58579.0,1975-08-26
BROOKS FASHION STORES,65517.0,1975-09-10
"CHRISTENSEN, INC.",23342.0,1975-09-24
KERR GLASS MANUFACTURI,58616.0,1975-10-21
LIQUID AIR,49825.0,1975-10-28
OCEANEERING INTERNATL,58975.0,1975-10-30
COLONIAL GAS ENERGY,24679.0,1975-11-07
CULLEN BANKERS,27880.0,1975-12-16
SBE INC.,68145.0,1976-01-08
BALDOR,58755.0,1976-01-15
DICKEY-JOHN,29912.0,1976-01-15
PATHCOM,61453.0,1976-01-21
CHEMINEER,23070.0,1976-01-28
MANUFACTURING DATA,51370.0,1976-02-11
CRAY RESEARCH,62164.0,1976-03-17
BURING FOOD GROUP,58974.0,1976-03-29
MAYFLOWER,63669.0,1976-05-11
ENTENMANNS,33057.0,1976-05-12
GAP STORES,59010.0,1976-05-19
NATCO,56056.0,1976-05-19
STEWART & STEVENSON SE,72961.0,1976-06-03
FOUR PHASE,60433.0,1976-06-08
SHARED MEDICAL SYSTEMS,70229.0,1976-06-29
DOCUMATION,59723.0,1976-07-08
DATA TERMINAL,59862.0,1976-07-13
VAPOR,80275.0,1976-07-22
DYCO PETROLEUM,62543.0,1976-08-10
AMDAHL,60046.0,1976-08-12
ZONDERVAN,84145.0,1976-09-02
ROLM,60572.0,1976-09-15
KIMBALL,47715.0,1976-09-28
TYRONE HYDRAULICS,77711.0,1976-09-28
CHEFS INTERNATIONAL,22956.0,1976-10-29
DATA RESOURCES INC,28688.0,1976-11-09
BOKUM,18631.0,1976-12-15
BEAR CREEK,17292.0,1976-12-16
PCA INTERNATIONAL,60346.0,1976-12-16
TETRA TECH,59803.0,1977-01-06
FREMONT GENERAL,37699.0,1977-01-18
OMEGA OPTICAL,59652.0,1977-01-25
BROUGHAM INDUSTRIES,19530.0,1977-01-27
